S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Link
203,RAJNANDGAON(6),SANTOSH PANDEY,712057,44411,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S266.htm
204,DURG(7),VIJAY BAGHEL,956497,438226,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S267.htm
205,RAIPUR(8),BRIJMOHAN AGRAWAL,1050351,575285,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S268.htm
206,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659,145456,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S269.htm
207,BASTAR(10),MAHESH KASHYAP,458398,55245,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2610.htm
208,KANKER(11),BHOJRAJ NAG,597624,1884,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2611.htm
209,Godda(3),NISHIKANT DUBEY,693140,101813,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S273.htm
210,Chatra(4),KALI CHARAN SINGH,574556,220959,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S274.htm
211,Kodarma(5),ANNPURNA DEVI,791657,377014,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S275.htm
212,Dhanbad(7),DULU MAHATO,789172,331583,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S277.htm
213,Ranchi(8),SANJAY SETH,664732,120512,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S278.htm
214,Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S279.htm
215,Palamau(13),VISHNU DAYAL RAM,770362,288807,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2713.htm
216,Hazaribagh(14),MANISH JAISWAL,654613,276686,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2714.htm
217,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603,272493,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S281.htm
218,Garhwal(2),ANIL BALUNI,432159,163503,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S282.htm
219,Almora(3),AJAY TAMTA,429167,234097,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S283.htm
220,Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671,334548,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S284.htm
221,Haridwar(5),TRIVENDRA SINGH RAWAT,653808,164056,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S285.htm
222,Adilabad (1),GODAM NAGESH,568168,90652,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S291.htm
223,Karimnagar (3),BANDI SANJAY KUMAR,585116,225209,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S293.htm
224,Nizamabad(4),ARVIND DHARMAPURI,592318,109241,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S294.htm
225,Medak(6),MADHAVANENI RAGHUNANDAN RAO,471217,39139,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S296.htm
226,Malkajgiri(7),EATALA RAJENDER,991042,391475,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S297.htm
227,Secunderabad(8),G. KISHAN REDDY,473012,49944,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S298.htm
228,Chevella(10),KONDA VISHWESHWAR REDDY,809882,172897,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2910.htm
229,Mahbubnagar(11),ARUNA. D. K,510747,4500,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2911.htm
230,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U011.htm
231,Dadar & Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074,57584,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U032.htm
232,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U051.htm
233,North-East Delhi(2),MANOJ TIWARI,824451,138778,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U052.htm
234,East Delhi(3),HARSH MALHOTRA,664819,93663,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U053.htm
235,New Delhi(4),BANSURI SWARAJ,453185,78370,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U054.htm
236,North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U055.htm
237,West Delhi(6),KAMALJEET SEHRAWAT,842658,199013,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U056.htm
238,South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U057.htm
239,UDHAMPUR(4),DR JITENDRA SINGH,571076,124373,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U084.htm
240,JAMMU(5),JUGAL KISHORE,687588,135498,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-U085.htm
