S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Link
46,Vadodara(20),DR. HEMANG JOSHI,873189,582126,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0620.htm
47,Chhota Udaipur(21),JASHUBHAI BHILUBHAI RATHVA,796589,398777,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0621.htm
48,Bharuch(22),MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0622.htm
49,Bardoli(23),PARBHUBHAI NAGARBHAI VASAVA,763950,230253,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0623.htm
50,Surat(24),MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0624.htm
51,Navsari(25),C R PATIL,1031065,773551,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0625.htm
52,Valsad(26),DHAVAL LAXMANBHAI PATEL,764226,210704,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0626.htm
53,KURUKSHETRA(2),NAVEEN JINDAL,542175,29021,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S072.htm
54,KARNAL(5),MANOHAR LAL,739285,232577,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S075.htm
55,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,588664,41510,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S078.htm
56,GURGAON(9),RAO INDERJIT SINGH,808336,75079,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S079.htm
57,FARIDABAD(10),KRISHAN PAL,788569,172914,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0710.htm
58,KANGRA(1),DR RAJEEV BHARDWAJ,632793,251895,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm
59,MANDI(2),KANGNA RANAUT,537022,74755,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S082.htm
60,HAMIRPUR(3),ANURAG SINGH THAKUR,607068,182357,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S083.htm
61,SHIMLA(4),Suresh Kumar Kashyap,519748,91451,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S084.htm
62,Belgaum(2),JAGADISH SHETTAR,762029,178437,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S102.htm
63,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S103.htm
64,Bijapur(4),RAMESH JIGAJINAGI,672781,77229,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S104.htm
65,Haveri(10),BASAVARAJ BOMMAI,705538,43513,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1010.htm
66,Dharwad(11),PRALHAD JOSHI,716231,97324,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1011.htm
67,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1012.htm
68,Shimoga(14),B.Y.RAGHAVENDRA,778721,243715,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1014.htm
69,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1015.htm
70,Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1017.htm
71,Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1018.htm
72,Tumkur(19),V. SOMANNA,720946,175594,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1019.htm
73,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1021.htm
74,Bangalore Rural(23),DR C N MANJUNATH,1079002,269647,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1023.htm
75,Bangalore North(24),SHOBHA KARANDLAJE,986049,259476,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1024.htm
76,Bangalore central(25),P C MOHAN,658915,32707,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1025.htm
77,Bangalore South(26),TEJASVI SURYA,750830,277083,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1026.htm
78,Chikkballapur(27),DR.K.SUDHAKAR,822619,163460,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1027.htm
79,Thrissur(10),SURESH GOPI,412338,74686,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1110.htm
80,MORENA(1),SHIVMANGAL SINGH TOMAR,515477,52530,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S121.htm
81,BHIND(2),SANDHYA RAY,537065,64840,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S122.htm
82,GWALIOR(3),BHARAT SINGH KUSHWAH,671535,70210,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S123.htm
83,GUNA(4),JYOTIRADITYA M. SCINDIA,923302,540929,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S124.htm
84,SAGAR(5),DR. LATA WANKHEDE,787979,471222,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S125.htm
85,TIKAMGARH(6),DR. VIRENDRA KUMAR,715050,403312,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S126.htm
86,DAMOH(7),RAHUL SINGH LODHI,709768,406426,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S127.htm
87,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),772774,541229,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S128.htm
88,SATNA(9),GANESH SINGH,459728,84949,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S129.htm
89,REWA(10),JANARDAN MISHRA,477459,193374,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1210.htm
